Model,Accuracy,Precision,Recall,F1,ROC_AUC
XGBoost,0.8367346938775511,0.48484848484848486,0.3404255319148936,0.4,0.7313291411835645
RandomForest,0.8401360544217688,0.5,0.10638297872340426,0.17543859649122806,0.7840037901628047
GradientBoosting,0.8299319727891157,0.44,0.23404255319148937,0.3055555555555556,0.7894736842105263
LogisticRegression,0.8707482993197279,0.68,0.3617021276595745,0.4722222222222222,0.8200534068395211
SVM,0.8605442176870748,0.75,0.19148936170212766,0.3050847457627119,0.8149711430786459
