Model,Accuracy,Precision,Recall,F1,ROC_AUC,PR_AUC
LogisticRegression,0.8707482993197279,0.68,0.3617021276595745,0.4722222222222222,0.8193642863295718,0.588834398510659
SVM,0.8707482993197279,0.8,0.2553191489361702,0.3870967741935484,0.8305624946162461,0.5659441990033492
RandomForest,0.8469387755102041,0.5833333333333334,0.14893617021276595,0.23728813559322035,0.801274872943406,0.4680803745134732
GradientBoosting,0.8367346938775511,0.48148148148148145,0.2765957446808511,0.35135135135135137,0.7627702644499957,0.4588393135450146
XGBoost,0.8571428571428571,0.6086956521739131,0.2978723404255319,0.4,0.7930054268240159,0.48885410724525535
